geofips,location_name,state,geography_type,year,mode,dest,orig,vmt,dist_within,inflow,outflow
6007,Butte County,CA,county,2021,WALKING,17144787,17147554,17146170,17130989,6899,8282
6007,Butte County,CA,county,2022,BIKING,19610725,19594206,19602466,19376475,117125,108865
6007,Butte County,CA,county,2022,CARPOOL,919268223,955054998,937161611,539130707,190068758,207962146
6007,Butte County,CA,county,2022,COMMERCIAL,98872692,92214602,95543647,44844352,27014170,23685125
6007,Butte County,CA,county,2022,ON_DEMAND_AUTO,4743106,4610082,4676594,3361059,691023,624511
6007,Butte County,CA,county,2022,OTHER_TRAVEL_MODE,320234817,407611874,363923346,22680172,148777323,192465851
6007,Butte County,CA,county,2022,PRIVATE_AUTO,1587141856,1552893321,1570017589,926732643,330204606,313080339
6007,Butte County,CA,county,2022,WALKING,28302110,28307866,28304988,28294885,3613,6491
6007,Butte County,CA,county,2023,BIKING,11007161,11004123,11005642,10939091,34035,32516
6007,Butte County,CA,county,2023,CARPOOL,748381568,787660831,768021200,438792463,154794553,174434184
6007,Butte County,CA,county,2023,COMMERCIAL,114119749,114077269,114098509,49473047,32323351,32302111
6007,Butte County,CA,county,2023,ON_DEMAND_AUTO,1455473,1611741,1533607,1317941,68766,146900
6007,Butte County,CA,county,2023,OTHER_TRAVEL_MODE,245182731,383561508,314372119,6159837,119511447,188700835
6007,Butte County,CA,county,2023,PRIVATE_AUTO,1880073715,1853897025,1866985370,1037069703,421502006,408413661
6007,Butte County,CA,county,2023,PUBLIC_TRANSIT,1849446,1849446,1849446,1849446,0,0
6007,Butte County,CA,county,2023,WALKING,22032265,22040895,22036580,22018042,7112,11427
6009,Calaveras County,CA,county,2019,BIKING,4816095,4872701,4844398,4313767,251164,279467
6009,Calaveras County,CA,county,2019,CARPOOL,161974805,178721971,170348388,45715668,58129568,66503151
6009,Calaveras County,CA,county,2019,COMMERCIAL,55212593,51239400,53225997,13093535,21059529,19072933
6009,Calaveras County,CA,county,2019,ON_DEMAND_AUTO,851805,892458,872132,282795,284505,304832
6009,Calaveras County,CA,county,2019,OTHER_TRAVEL_MODE,37350042,37755807,37552924,1410198,17969922,18172805
6009,Calaveras County,CA,county,2019,PRIVATE_AUTO,520549246,494463224,507506235,157917199,181316024,168273013
6009,Calaveras County,CA,county,2019,WALKING,3318896,3228901,3273899,3218933,49982,4984
6009,Calaveras County,CA,county,2021,BIKING,613665,615128,614396,609062,2301,3033
6009,Calaveras County,CA,county,2021,CARPOOL,313085579,312845396,312965488,67280350,122902615,122782523
6009,Calaveras County,CA,county,2021,COMMERCIAL,35820278,37044882,36432580,11508616,12155831,12768133
6009,Calaveras County,CA,county,2021,ON_DEMAND_AUTO,1357201,1242136,1299668,701953,327624,270091
6009,Calaveras County,CA,county,2021,OTHER_TRAVEL_MODE,59951828,63551262,61751545,936753,29507538,31307255
6009,Calaveras County,CA,county,2021,PRIVATE_AUTO,438477205,445232229,441854717,180458906,129009149,132386662
6009,Calaveras County,CA,county,2021,WALKING,2650012,2605528,2627770,2605493,22260,18
6009,Calaveras County,CA,county,2022,BIKING,3311537,3322174,3316855,2840119,235709,241028
6009,Calaveras County,CA,county,2022,CARPOOL,269759017,267593875,268676446,66564252,101597382,100514811
6009,Calaveras County,CA,county,2022,COMMERCIAL,23231488,24709801,23970644,7926452,7652518,8391674
6009,Calaveras County,CA,county,2022,ON_DEMAND_AUTO,667462,774817,721139,313772,176845,230522
6009,Calaveras County,CA,county,2022,OTHER_TRAVEL_MODE,52801190,50682874,51742032,1416039,25692576,24633418
6009,Calaveras County,CA,county,2022,PRIVATE_AUTO,463584063,458647078,461115570,169438042,147073010,144604518
6009,Calaveras County,CA,county,2022,WALKING,3315985,3327766,3321875,3291912,12037,17927
